index,rho,phi,left,right,mean,flags,left_cell,right_cell
41716,3.6119669671170413,1.7011453054273509,0,0,0,0,4294967295,4294967295
41717,2.9138222164474428,3.3965678267406298,0,0,0,0,4294967295,4294967295
41718,3.8805736009962857,3.5907049878012076,0,0,0,0,4294967295,4294967295
41719,3.2471286193467677,2.2416329767597571,0,0,0,0,4294967295,4294967295
41720,2.7037749080918729,0.79126730076200624,0.73040294647216797,0.8144078254699707,0.77240538597106934,7,89162,89525
41721,1.7172817368991673,1.4443511889445091,0,0,0,0,4294967295,4294967295
41722,2.353918690700084,3.8455967665754764,0,0,0,0,4294967295,4294967295
41723,1.0726170591078699,3.282346341551583,0,0,0,0,4294967295,4294967295
41724,0.33225934440270066,0.91550205790116479,0.26984128355979919,0.26471307873725891,0.26727718114852905,7,11861,12202
41725,3.9170749424956739,2.2348689043804204,0,0,0,0,4294967295,4294967295
41726,0.35559965530410409,0.55218904761026777,0.21514041721820831,0.37094017863273621,0.29304030537605286,7,11829,12234
41727,1.455613826867193,4.9416487264533409,0,0,0,0,4294967295,4294967295
41728,3.6268147197552025,2.9219454116005208,0,0,0,0,4294967295,4294967295
41729,1.6336059463210404,2.6090049088524676,0,0,0,0,4294967295,4294967295
41730,3.4772832836024463,5.9589858628571388,0.10012210160493851,0.74920636415481567,0.42466422915458679,7,114149,113690
41731,3.1106289192102849,1.4583669052810666,0,0,0,0,4294967295,4294967295
41732,3.6350147579796612,1.8575014221272101,0,0,0,0,4294967295,4294967295
41733,1.5250745979137719,3.2057819096385285,0,0,0,0,4294967295,4294967295
41734,2.3531364197842777,0.26483538583398714,0.52234435081481934,0.87008547782897949,0.69621491432189941,7,76827,77284
41735,2.0693155978806317,1.2919027385574939,0,0,0,0,4294967295,4294967295
41736,2.2492242841981351,1.4138695279466922,0,0,0,0,4294967295,4294967295
41737,1.5869488311000168,6.1220283417279635,0.74188035726547241,0.33943834900856018,0.54065936803817749,7,52212,51723
41738,0.32005927572026849,4.6713851077459516,0,0,0,0,4294967295,4294967295
41739,2.1463207271881402,0.79464510253529397,0.61929184198379517,0.7032967209815979,0.66129428148269653,7,71242,71605
41740,3.6916599762625992,3.5978350296189259,0,0,0,0,4294967295,4294967295
41741,3.3353428575210273,0.13909058270963778,0.70183151960372925,0.090354092419147491,0.39609280228614807,7,109071,109552
41742,1.3172644614242017,2.9069167415275174,0,0,0,0,4294967295,4294967295
41743,0.12907242821529508,0.66809358493947746,0,0,0,0,4294967295,4294967295
41744,0.47224977472797036,5.8525260680136491,0.47374847531318665,0.15677656233310699,0.31526252627372742,7,15835,15396
41745,2.9212509379722178,3.6090539815961646,0,0,0,0,4294967295,4294967295
41746,2.9567491062916815,0.810466722483557,0.78461539745330811,0.86178267002105713,0.82319903373718262,7,97356,97715
41747,3.6055661118589342,5.9841729804816861,0.1289377361536026,0.77118438482284546,0.45006105303764343,7,118247,117784
41748,2.9733423055149615,2.4504557375116516,0,0,0,0,4294967295,4294967295
41749,2.0031840181909502,1.5152783889242263,0,0,0,0,4294967295,4294967295
41750,3.9569315970875323,3.8638943490403737,0,0,0,0,4294967295,4294967295
41751,3.1409989898093045,3.8404128359010992,0,0,0,0,4294967295,4294967295
41752,0.94100411469116807,6.1428821701907674,0.61514043807983398,0.20586080849170685,0.41050061583518982,7,31222,30729
41753,2.0924168159253895,1.0412650290051406,0.69890111684799194,0.60463982820510864,0.65177047252655029,7,69728,70047
41754,1.3105099103413522,2.2474641623720437,0,0,0,0,4294967295,4294967295
41755,0.86280007241293788,4.4873465096853433,0,0,0,0,4294967295,4294967295
41756,1.4147413126192987,4.1949903263911041,0,0,0,0,4294967295,4294967295
41757,3.4914678973145783,3.8729723174827688,0,0,0,0,4294967295,4294967295
41758,1.9914846275933087,5.8574272180862224,0.78339439630508423,0,0,1,65500,65059
41759,1.4298108885996044,3.4540527932887972,0,0,0,0,4294967295,4294967295
41760,2.7539313924498856,3.9235060225058493,0,0,0,0,4294967295,4294967295
41761,0.46451929630711675,0.91810090699937563,0.29523810744285583,0.29010990262031555,0.29267400503158569,7,15957,16298
41762,3.6626309114508331,2.8910123613776739,0,0,0,0,4294967295,4294967295
41763,0.065685938578099012,2.2616649524748089,0,0,0,0,4294967295,4294967295
41764,0.21123522380366921,3.8859761611793409,0,0,0,0,4294967295,4294967295
41765,2.0064688087441027,5.6842435672634517,0.71086692810058594,0.54822957515716553,0.62954825162887573,7,66508,66099
41766,0.25665149232372642,6.1864453090217859,0.48229548335075378,0.059340659528970718,0.2708180844783783,7,8698,8197
41767,2.1918160305358469,4.8482786866335461,0,0,0,0,4294967295,4294967295
41768,3.1261115926317871,1.9400117338928837,0,0,0,0,4294967295,4294967295
41769,3.0589353297837079,4.1590459376430351,0,0,0,0,4294967295,4294967295
41770,0.52630566945299506,5.6141022600421797,0.39902320504188538,0.2568986713886261,0.32796093821525574,7,17862,17465
41771,0.29015732137486339,5.7755648736995626,0.37704518437385559,0.13211233913898468,0.25457876920700073,7,10197,9770
41772,2.6013389038853347,6.1956038959536937,0.96019536256790161,0.53382176160812378,0.7470085620880127,7,85499,84996
41773,0.031929351855069399,3.7449652724698219,0,0,0,0,4294967295,4294967295
41774,1.9065250703133643,1.9197462193985755,0,0,0,0,4294967295,4294967295
41775,2.7703552707098424,0.62140778748862124,0.71746033430099487,0.85274726152420044,0.78510379791259766,7,91195,91588
