            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460680.997141204, A.D. 2025-Jan-05 11:55:53.0000, -1.021489551750530E+04,  8.795348446898024E+03,  4.083843087877521E+02, -5.317032088025693E+00, -1.482463821244519E+00,  4.870386562164308E+00,
2460680.997152778, A.D. 2025-Jan-05 11:55:54.0000, -1.022021169608603E+04,  8.793865261554924E+03,  4.132546508883808E+02, -5.315371595530253E+00, -1.483893024444404E+00,  4.870319723722413E+00,
2460680.997164352, A.D. 2025-Jan-05 11:55:55.0000, -1.022552621422675E+04,  8.792380647555183E+03,  4.181249257669686E+02, -5.313711425040664E+00, -1.485320966446317E+00,  4.870252141430486E+00,
2460680.997175926, A.D. 2025-Jan-05 11:55:56.0000, -1.023083907225186E+04,  8.790894606160195E+03,  4.229951326811996E+02, -5.312051577318898E+00, -1.486747648002640E+00,  4.870183816402781E+00,
2460680.997187500, A.D. 2025-Jan-05 11:55:57.0000, -1.023615027048653E+04,  8.789407138630628E+03,  4.278652708898735E+02, -5.310392053124869E+00, -1.488173069866375E+00,  4.870114749752585E+00,
2460680.997199074, A.D. 2025-Jan-05 11:55:58.0000, -1.024145980925672E+04,  8.787918246226376E+03,  4.327353396529066E+02, -5.308732853216454E+00, -1.489597232791135E+00,  4.870044942592222E+00,
2460680.997210648, A.D. 2025-Jan-05 11:55:59.0000, -1.024676768888915E+04,  8.786427930206619E+03,  4.376053382313283E+02, -5.307073978349478E+00, -1.491020137531136E+00,  4.869974396033039E+00,
2460680.997222222, A.D. 2025-Jan-05 11:56:00.0000, -1.025207390971132E+04,  8.784936191829760E+03,  4.424752658872822E+02, -5.305415429277728E+00, -1.492441784841203E+00,  4.869903111185419E+00,
2460680.997233796, A.D. 2025-Jan-05 11:56:01.0000, -1.025737847205146E+04,  8.783443032353474E+03,  4.473451218840237E+02, -5.303757206752961E+00, -1.493862175476758E+00,  4.869831089158773E+00,
2460680.997245370, A.D. 2025-Jan-05 11:56:02.0000, -1.026268137623859E+04,  8.781948453034676E+03,  4.522149054859198E+02, -5.302099311524893E+00, -1.495281310193814E+00,  4.869758331061540E+00,
