            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460676.722222222, A.D. 2025-Jan-01 05:20:00.0000, -3.531015794071666E+03, -1.146019362516384E+05,  9.050940646212442E+04,  5.235092183423167E-01, -4.988133037788260E-01,  1.933210514198233E-02,
2460676.725694444, A.D. 2025-Jan-01 05:25:00.0000, -3.373942795307081E+03, -1.147509208099652E+05,  9.051468476386041E+04,  5.236430515813731E-01, -4.944178857880360E-01,  1.585791973135635E-02,
2460676.729166667, A.D. 2025-Jan-01 05:30:00.0000, -3.216830594996040E+03, -1.148985874588646E+05,  9.051892201749608E+04,  5.237705673086412E-01, -4.900272265206737E-01,  1.239176971456782E-02,
2460676.732638889, A.D. 2025-Jan-01 05:35:00.0000, -3.059681083637145E+03, -1.150449376130105E+05,  9.052212062041048E+04,  5.238917971020471E-01, -4.856412397584386E-01,  8.933566968281641E-03,
2460676.736111111, A.D. 2025-Jan-01 05:40:00.0000, -2.902496142361053E+03, -1.151899726612769E+05,  9.052428294366931E+04,  5.240067719116099E-01, -4.812598397882799E-01,  5.483224193737496E-03,
2460676.739583333, A.D. 2025-Jan-01 05:45:00.0000, -2.745277643029919E+03, -1.153336939669685E+05,  9.052541133227121E+04,  5.241155220673533E-01, -4.768829413902422E-01,  2.040654901964961E-03,
2460676.743055556, A.D. 2025-Jan-01 05:50:00.0000, -2.588027448666145E+03, -1.154761028677449E+05,  9.052550810538747E+04,  5.242180772868521E-01, -4.725104598340060E-01, -1.394226594178805E-03,
2460676.746527778, A.D. 2025-Jan-01 05:55:00.0000, -2.430747413351034E+03, -1.156172006760241E+05,  9.052457555660172E+04,  5.243144666828821E-01, -4.681423108610083E-01, -4.821505198992013E-03,
2460676.750000000, A.D. 2025-Jan-01 06:00:00.0000, -2.273439382513758E+03, -1.157569886790241E+05,  9.052261595414260E+04,  5.244047187706351E-01, -4.637784106777185E-01, -8.241265044112546E-03,
2460676.753472222, A.D. 2025-Jan-01 06:05:00.0000, -2.116105193148258E+03, -1.158954681388656E+05,  9.051963154111363E+04,  5.244888614748157E-01, -4.594186759471581E-01, -1.165358950002868E-02,
2460676.756944444, A.D. 2025-Jan-01 06:10:00.0000, -1.958746673961347E+03, -1.160326402927332E+05,  9.051562453571982E+04,  5.245669221366484E-01, -4.550630237781694E-01, -1.505856118908965E-02,
2460676.760416667, A.D. 2025-Jan-01 06:15:00.0000, -1.801365645468648E+03, -1.161685063530748E+05,  9.051059713148759E+04,  5.246389275205887E-01, -4.507113717140149E-01, -1.845626199897500E-02,
2460676.763888889, A.D. 2025-Jan-01 06:20:00.0000, -1.643963920409406E+03, -1.163030675075222E+05,  9.050455149749207E+04,  5.247049038210949E-01, -4.463636377298829E-01, -2.184677308932062E-02,
2460676.767361111, A.D. 2025-Jan-01 06:25:00.0000, -1.486543303632356E+03, -1.164363249192624E+05,  9.049748977856350E+04,  5.247648766691219E-01, -4.420197402155522E-01, -2.523017490949181E-02,
2460676.770833333, A.D. 2025-Jan-01 06:30:00.0000, -1.329105592372455E+03, -1.165682797270686E+05,  9.048941409550238E+04,  5.248188711383739E-01, -4.376795979692923E-01, -2.860654720766621E-02,
2460676.774305556, A.D. 2025-Jan-01 06:35:00.0000, -1.171652576457549E+03, -1.166989330453856E+05,  9.048032654528989E+04,  5.248669117515070E-01, -4.333431301900663E-01, -3.197596904106943E-02,
2460676.777777778, A.D. 2025-Jan-01 06:40:00.0000, -1.014186038431813E+03, -1.168282859644845E+05,  9.047022920129173E+04,  5.249090224861802E-01, -4.290102564673114E-01, -3.533851878810301E-02,
2460676.781250000, A.D. 2025-Jan-01 06:45:00.0000, -8.567077537382274E+02, -1.169563395505613E+05,  9.045912411346132E+04,  5.249452267809436E-01, -4.246808967725853E-01, -3.869427415879982E-02,
2460676.784722222, A.D. 2025-Jan-01 06:50:00.0000, -6.992194907915026E+02, -1.170830948459215E+05,  9.044701330853184E+04,  5.249755475410066E-01, -4.203549714487153E-01, -4.204331220707818E-02,
2460676.788194444, A.D. 2025-Jan-01 06:55:00.0000, -5.417230113815875E+02, -1.172085528688945E+05,  9.043389879023127E+04,  5.250000071438103E-01, -4.160324012075284E-01, -4.538570933652410E-02,
2460676.791666667, A.D. 2025-Jan-01 07:00:00.0000, -3.842200705467354E+02, -1.173327146141702E+05,  9.041978253945267E+04,  5.250186274445536E-01, -4.117131071136627E-01, -4.872154131658992E-02,
2460676.795138889, A.D. 2025-Jan-01 07:05:00.0000, -2.267124168381870E+02, -1.174555810528166E+05,  9.040466651445179E+04,  5.250314297814929E-01, -4.073970105789020E-01, -5.205088329056243E-02,
2460676.798611111, A.D. 2025-Jan-01 07:10:00.0000, -6.920179251321122E+01, -1.175771531323518E+05,  9.038855265103650E+04,  5.250384349812307E-01, -4.030840333550782E-01, -5.537380978475596E-02,
2460676.802083333, A.D. 2025-Jan-01 07:15:00.0000,  8.831006634020216E+01, -1.176974317768680E+05,  9.037144286274877E+04,  5.250396633637614E-01, -3.987740975249187E-01, -5.869039471900209E-02,
2460676.805555556, A.D. 2025-Jan-01 07:20:00.0000,  2.458214297302521E+02, -1.178164178871869E+05,  9.035333904103497E+04,  5.250351347474168E-01, -3.944671254915963E-01, -6.200071141816509E-02,
2460676.809027778, A.D. 2025-Jan-01 07:25:00.0000,  4.033305733685744E+02, -1.179341123407735E+05,  9.033424305545256E+04,  5.250248684537291E-01, -3.901630399774086E-01, -6.530483261644643E-02,
2460676.812500000, A.D. 2025-Jan-01 07:30:00.0000,  5.608357788062827E+02, -1.180505159920429E+05,  9.031415675381152E+04,  5.250088833121312E-01, -3.858617640076786E-01, -6.860283047310714E-02,
2460676.815972222, A.D. 2025-Jan-01 07:35:00.0000,  7.183353331782109E+02, -1.181656296723694E+05,  9.029308196235867E+04,  5.249871976645525E-01, -3.815632209060438E-01, -7.189477657921933E-02,
2460676.819444444, A.D. 2025-Jan-01 07:40:00.0000,  8.758275290185722E+02, -1.182794541901443E+05,  9.027102048595098E+04,  5.249598293698948E-01, -3.772673342874143E-01, -7.518074196613886E-02,
2460676.822916667, A.D. 2025-Jan-01 07:45:00.0000,  1.033310664144764E+03, -1.183919903308853E+05,  9.024797410821967E+04,  5.249267958083923E-01, -3.729740280493115E-01, -7.846079711525904E-02,
2460676.826388889, A.D. 2025-Jan-01 07:50:00.0000,  1.190783041592521E+03, -1.185032388573734E+05,  9.022394459172084E+04,  5.248881138858335E-01, -3.686832263621290E-01, -8.173501196848854E-02,
2460676.829861111, A.D. 2025-Jan-01 07:55:00.0000,  1.348242969231298E+03, -1.186132005095634E+05,  9.019893367813442E+04,  5.248438000377321E-01, -3.643948536679726E-01, -8.500345593181721E-02,
2460676.833333333, A.D. 2025-Jan-01 08:00:00.0000,  1.505688759908080E+03, -1.187218760048641E+05,  9.017294308837892E+04,  5.247938702334710E-01, -3.601088346652870E-01, -8.826619789013000E-02,
2460676.836805556, A.D. 2025-Jan-01 08:05:00.0000,  1.663118731199496E+03, -1.188292660381376E+05,  9.014597452278365E+04,  5.247383399800403E-01, -3.558250943042401E-01, -9.152330621342947E-02,
2460676.840277778, A.D. 2025-Jan-01 08:10:00.0000,  1.820531205233108E+03, -1.189353712817452E+05,  9.011802966124819E+04,  5.246772243255075E-01, -3.515435577800653E-01, -9.477484876420331E-02,
2460676.843750000, A.D. 2025-Jan-01 08:15:00.0000,  1.977924508591350E+03, -1.190401923856486E+05,  9.008911016338671E+04,  5.246105378631059E-01, -3.472641505246548E-01, -9.802089290679297E-02,
2460676.847222222, A.D. 2025-Jan-01 08:20:00.0000,  2.135296972155777E+03, -1.191437299774663E+05,  9.005921766868027E+04,  5.245382947348124E-01, -3.429867981997407E-01, -1.012615055151119E-01,
2460676.850694444, A.D. 2025-Jan-01 08:25:00.0000,  2.292646931060041E+03, -1.192459846625986E+05,  9.002835379660470E+04,  5.244605086347013E-01, -3.387114266871186E-01, -1.044967529824356E-01,
2460676.854166667, A.D. 2025-Jan-01 08:30:00.0000,  2.449972724311937E+03, -1.193469570241346E+05,  8.999652014682270E+04,  5.243771928124779E-01, -3.344379620880847E-01, -1.077267012243775E-01,
2460676.857638889, A.D. 2025-Jan-01 08:35:00.0000,  2.607272694944726E+03, -1.194466476231008E+05,  8.996371829926921E+04,  5.242883600766143E-01, -3.301663307081600E-01, -1.109514156926804E-01,
2460676.861111111, A.D. 2025-Jan-01 08:40:00.0000,  2.764545189776562E+03, -1.195450569984504E+05,  8.992994981431076E+04,  5.241940227975972E-01, -3.258964590532310E-01, -1.141709613805007E-01,
