generation,branch,rho,phi,alive,cell,status,orientation
9,1000,-0.208179265,1.00269544,1,33955,0,0
9,1001,-0.2070916,0.862633586,1,33932,0,0
9,1002,-0.206053063,0.856975853,1,33931,0,0
9,1003,-0.250241667,0.752640903,0,4294967295,1,0
9,1004,-0.205074921,0.850779772,1,33930,0,0
9,1005,-0.204126477,0.710274875,1,33907,0,0
9,1006,-0.203244925,0.704266906,1,33906,0,0
9,1007,-0.202439278,0.563375235,1,34907,0,0
9,1012,-0.204088464,0.84390837,1,33929,0,0
9,1013,-0.248367786,0.74004966,0,4294967295,1,0
9,1014,-0.202265427,0.697323143,1,34929,0,0
9,1015,-0.201470003,0.556441009,1,34906,0,0
9,1016,-0.20318386,0.837180078,1,33928,0,0
9,1017,-0.247513786,0.733590603,0,4294967295,1,0
9,1018,-0.201373279,0.690553188,1,34928,0,0
9,1019,-0.200591147,0.549702346,1,34905,0,0
9,1020,-0.245924413,0.586535454,0,4294967295,1,0
9,1021,-0.199805588,0.543192089,1,34904,0,0
9,1022,-0.199107572,0.536864936,1,34903,0,0
9,1023,-0.198496655,0.395716488,1,34880,0,0
10,1056,-0.219234377,1.79697263,0,34084,3,0
10,1057,-0.245833695,1.68668258,0,4294967295,1,0
10,1058,-0.226036787,1.64636791,0,34060,3,0
10,1059,-0.225362375,1.51068151,0,34038,3,0
10,1060,-0.224654526,1.64421761,0,34059,3,0
10,1061,-0.243110687,1.54835415,0,4294967295,1,0
10,1062,-0.222617939,1.50628626,0,34037,3,0
10,1063,-0.221950829,1.37009561,0,34015,3,0
10,1064,-0.223246634,1.64116073,0,34059,3,0
10,1065,-0.222572267,1.5054512,0,34037,3,0
10,1066,-0.221213266,1.50319231,0,34036,3,0
10,1067,-0.220546201,1.36699986,0,34014,3,0
10,1068,-0.219841704,1.50005162,0,34036,3,0
10,1069,-0.219175205,1.36384034,0,34014,3,0
10,1070,-0.217827931,1.36060834,0,34013,3,0
10,1071,-0.217155114,1.22389698,0,33991,3,0
10,1072,-0.22181505,1.63719881,0,34058,3,0
10,1073,-0.221135631,1.50147235,0,34036,3,0
10,1074,-0.238948539,1.40408921,0,4294967295,1,0
10,1075,-0.219103068,1.3629663,0,34014,3,0
10,1078,-0.226338923,1.34342837,0,34010,3,0
10,1079,-0.226016834,1.20759892,0,33988,3,0
10,1120,-0.218997151,1.6280036,0,34057,3,0
10,1121,-0.218322918,1.49224818,0,34035,3,0
10,1122,-0.226550505,1.47609806,0,34032,3,0
10,1123,-0.226215705,1.34046292,0,34010,3,0
10,1124,-0.234833926,1.39167345,0,4294967295,1,0
10,1125,-0.224866375,1.33726442,0,34009,3,0
10,1126,-0.22352621,1.33396018,0,34009,3,0
10,1127,-0.223205373,1.19811332,0,33987,3,0
10,1132,-0.220867187,1.32585585,0,34008,3,0
10,1133,-0.220546991,1.19000041,0,33985,3,0
10,1134,-0.219274774,1.18589032,0,33985,3,0
10,1135,-0.218972638,1.04985392,0,33963,3,0
10,1136,-0.222496465,1.46412313,0,34030,3,0
10,1137,-0.222164884,1.32847357,0,34008,3,0
10,1138,-0.220867008,1.32521808,0,34007,3,0
10,1139,-0.220546812,1.18936265,0,33985,3,0
10,1140,-0.22952044,1.24050283,0,4294967295,1,0
10,1141,-0.219188735,1.18511581,0,33985,3,0
10,1142,-0.217956692,1.18110049,0,33984,3,0
10,1143,-0.207025334,1.05614161,0,33964,3,0
10,1144,-0.228234261,1.23569274,0,4294967295,1,0
10,1145,-0.2178884,1.18026173,0,33984,3,0
10,1146,-0.216662169,1.17622387,0,33983,3,0
10,1147,-0.205729321,1.05125082,0,33963,3,0
10,1150,-0.192693129,1.0526737,0,34987,3,0
10,1151,-0.224634156,0.952147365,0,4294967295,1,0
10,1664,-0.221068442,1.58331728,0,34050,3,0
10,1665,-0.220731854,1.44787681,0,34027,3,0
10,1668,-0.218020841,1.44189084,0,34026,3,0
10,1669,-0.217690513,1.30620992,0,34004,3,0
10,1694,-0.174879178,1.03073287,1,36007,0,0
10,1695,-0.173767075,0.89075768,1,35985,0,0
10,1718,-0.172286853,1.01886857,1,36006,0,0
10,1719,-0.171184316,0.878851295,1,35983,0,0
10,1720,-0.215196222,1.11051869,0,33972,3,0
10,1721,-0.17226693,1.01820314,1,36005,0,0
10,1874,-0.214994967,1.10749686,0,33972,3,0
10,1875,-0.172040105,1.01507413,1,36005,0,0
10,1876,-0.213806227,1.10243797,0,33971,3,0
10,1877,-0.170812756,1.00985551,1,36004,0,0
10,1878,-0.169650689,1.00468826,1,36003,0,0
10,1879,-0.16856347,0.864642143,1,35980,0,0
10,1880,-0.212676361,1.09682631,0,33970,3,0
10,1881,-0.169631734,1.00402939,1,36003,0,0
10,1882,-0.168481871,0.998880923,1,36002,0,0
10,1883,-0.167399779,0.858813703,1,35979,0,0
10,1884,-0.167372763,0.993099093,1,36001,0,0
10,1885,-0.166295037,0.853014231,1,35979,0,0
10,1886,-0.165265918,0.847328544,1,35978,0,0
10,1887,-0.164320603,0.706815422,1,35955,0,0
10,1892,-0.212663516,1.0962007,0,33970,3,0
10,1893,-0.169610456,1.00336742,1,36003,0,0
10,1904,-0.210443527,1.08426344,0,33968,3,0
10,1905,-0.167297214,0.991034389,1,36001,0,0
10,1906,-0.166157693,0.985840261,1,36000,0,0
10,1907,-0.165086046,0.845731318,1,35977,0,0
10,1908,-0.20829919,0.871164083,0,4294967295,1,0
10,1909,-0.163989797,0.839873195,1,35976,0,0
10,1912,-0.16403009,0.973724782,1,35998,0,0
10,1913,-0.162969038,0.83357507,1,35975,0,0
10,1914,-0.161962301,0.82785666,1,35974,0,0
10,1915,-0.161032721,0.687274337,1,35952,0,0
10,1916,-0.161014736,0.821594894,1,35973,0,0
10,1917,-0.1600914,0.680997431,1,35950,0,0
10,1918,-0.159246266,0.67497617,1,35950,0,0
10,1919,-0.158486709,0.534142196,1,35927,0,0
10,1930,-0.214992896,1.03867984,0,4294967295,1,0
10,1931,-0.17202504,1.01369953,1,36005,0,0
10,1932,-0.213825107,1.10118699,0,33971,3,0
10,1933,-0.170810297,1.00851524,1,36004,0,0
10,1934,-0.169667765,1.00342691,1,36003,0,0
10,1935,-0.212712392,0.893738389,0,4294967295,1,0
10,1986,-0.21151495,1.08720601,0,33969,3,0
10,1987,-0.168385446,0.994049609,1,36002,0,0
10,1988,-0.210344598,1.08207691,0,33968,3,0
10,1989,-0.167172953,0.988739371,1,36001,0,0
10,1990,-0.166035905,0.983534634,1,36000,0,0
10,1991,-0.164966717,0.843416095,1,35977,0,0
10,1992,-0.209244862,1.07645822,0,33967,3,0
10,1993,-0.209244862,1.00896311,0,4294967295,1,0
10,1994,-0.164886028,0.977660596,1,35999,0,0
10,1995,-0.208152041,0.868922591,0,4294967295,1,0
10,2000,-0.208179265,1.07019055,0,33966,3,0
10,2001,-0.164906994,0.976415694,1,35999,0,0
10,2002,-0.163775548,0.971151531,1,35998,0,0
10,2003,-0.162717,0.83099252,1,35975,0,0
10,2004,-0.162687227,0.965272725,1,35997,0,0
10,2005,-0.161637709,0.825113833,1,35974,0,0
10,2008,-0.161659494,0.958854556,1,35996,0,0
10,2009,-0.205074921,0.850779772,0,4294967295,1,0
10,2010,-0.159623042,0.812918961,1,35972,0,0
10,2011,-0.204126477,0.710274875,0,4294967295,1,0
10,2012,-0.203244925,0.704266906,0,4294967295,1,0
10,2013,-0.157794639,0.666066051,1,35948,0,0
10,2014,-0.156951934,0.659906209,1,35947,0,0
10,2015,-0.156198606,0.518957973,1,36948,0,0
10,2024,-0.160619542,0.951741576,1,35995,0,0
10,2025,-0.159581363,0.811541915,1,35972,0,0
10,2028,-0.157671303,0.799459577,1,35970,0,0
10,2029,-0.156770393,0.6588099,1,35947,0,0
10,2030,-0.155938268,0.652658939,1,36970,0,0
10,2031,-0.155195951,0.511720657,1,36947,0,0
10,2032,-0.159655631,0.944742382,1,35993,0,0
10,2033,-0.158624023,0.804519653,1,35971,0,0
10,2036,-0.156728789,0.792404234,1,35969,0,0
10,2037,-0.15583542,0.65173763,1,36970,0,0
10,2038,-0.155016944,0.645617366,1,36969,0,0
10,2039,-0.154283002,0.504667044,1,36946,0,0
10,2042,-0.154195338,0.638846815,1,36968,0,0
10,2043,-0.153468564,0.497886389,1,36945,0,0
10,2044,-0.15345411,0.632204533,1,36967,0,0
10,2045,-0.152740851,0.491277218,1,36944,0,0
10,2046,-0.198496655,0.395716488,0,4294967295,1,0
10,2047,-0.151554942,0.343640625,1,36920,0,0
11,3388,-0.174879178,1.09822798,0,36018,3,0
11,3389,-0.131847247,1.00548506,1,38051,0,0
11,3390,-0.130688399,1.00030291,1,38051,0,0
11,3391,-0.173767075,0.89075768,0,4294967295,1,0
11,3436,-0.172286853,1.08636367,0,36017,3,0
11,3437,-0.129153132,0.993189156,1,38049,0,0
11,3438,-0.171184316,0.878851295,0,4294967295,1,0
11,3439,-0.126927525,0.847839236,1,38026,0,0
11,3442,-0.17226693,1.08569825,0,36016,3,0
11,3443,-0.12912479,0.992487431,1,38049,0,0
11,3750,-0.172040105,1.08256924,0,36016,3,0
11,3751,-0.128872707,0.989249647,1,38049,0,0
11,3754,-0.170812756,1.07735062,0,36015,3,0
11,3755,-0.127596959,0.983822227,1,38048,0,0
11,3756,-0.169650689,1.07218337,0,36014,3,0
11,3757,-0.126401395,0.978509128,1,38047,0,0
11,3758,-0.125270322,0.973261058,1,38046,0,0
11,3759,-0.124209262,0.833111346,1,38023,0,0
11,3762,-0.169631734,1.0715245,0,36014,3,0
11,3763,-0.12637417,0.977813244,1,38047,0,0
11,3764,-0.168481871,1.06637609,0,36013,3,0
11,3765,-0.125182465,0.972481966,1,38046,0,0
11,3766,-0.124056742,0.967212021,1,38045,0,0
11,3767,-0.123001039,0.827042282,1,38022,0,0
11,3768,-0.167372763,1.0605942,0,36012,3,0
11,3769,-0.124025613,0.966488481,1,38045,0,0
11,3770,-0.122902311,0.961190939,1,38044,0,0
11,3771,-0.12185201,0.821001351,1,38021,0,0
11,3772,-0.121831931,0.955319941,1,38043,0,0
11,3773,-0.120782487,0.815093756,1,38020,0,0
11,3774,-0.1197934,0.80932802,1,38019,0,0
11,3775,-0.118882671,0.668700695,1,37996,0,0
