            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460700.770833333, A.D. 2025-Jan-25 06:30:00.0000,  6.848330733972625E+03, -1.216095754433806E+05,  8.823601178716247E+04,  5.229147569770877E-01, -2.064166336195652E-01, -2.248693299488316E-01,
2460700.774305556, A.D. 2025-Jan-25 06:35:00.0000,  7.005168834173075E+03, -1.216708591162541E+05,  8.816808509401724E+04,  5.226716726378013E-01, -2.021410684000596E-01, -2.279747192440744E-01,
2460700.777777778, A.D. 2025-Jan-25 06:40:00.0000,  7.161933194199529E+03, -1.217308600104803E+05,  8.809922729611475E+04,  5.224231558541390E-01, -1.978647642092992E-01, -2.310767040360107E-01,
2460700.781250000, A.D. 2025-Jan-25 06:45:00.0000,  7.318622184235529E+03, -1.217895778937459E+05,  8.802943940672837E+04,  5.221692058262005E-01, -1.935876501593906E-01, -2.341753380534624E-01,
2460700.784722222, A.D. 2025-Jan-25 06:50:00.0000,  7.475234174124602E+03, -1.218470125124496E+05,  8.795872242306943E+04,  5.219098213656522E-01, -1.893096553209171E-01, -2.372706747723076E-01,
2460700.788194444, A.D. 2025-Jan-25 06:55:00.0000,  7.631767533379061E+03, -1.219031635917337E+05,  8.788707732630537E+04,  5.216450008958216E-01, -1.850307087131625E-01, -2.403627674230377E-01,
2460700.791666667, A.D. 2025-Jan-25 07:00:00.0000,  7.788220630812402E+03, -1.219580308353788E+05,  8.781450508174801E+04,  5.213747424523379E-01, -1.807507393044910E-01, -2.434516689909171E-01,
2460700.795138889, A.D. 2025-Jan-25 07:05:00.0000,  7.944591834706794E+03, -1.220116139258880E+05,  8.774100663879585E+04,  5.210990436828021E-01, -1.764696759982717E-01, -2.465374322265192E-01,
2460700.798611111, A.D. 2025-Jan-25 07:10:00.0000,  8.100879512590172E+03, -1.220639125244287E+05,  8.766658293105250E+04,  5.208179018470338E-01, -1.721874476291817E-01, -2.496201096487460E-01,
2460700.802083333, A.D. 2025-Jan-25 07:15:00.0000,  8.257082031068558E+03, -1.221149262707933E+05,  8.759123487641966E+04,  5.205313138171490E-01, -1.679039829582700E-01, -2.526997535486457E-01,
2460700.805555556, A.D. 2025-Jan-25 07:20:00.0000,  8.413197755834730E+03, -1.221646547834167E+05,  8.751496337710439E+04,  5.202392760772694E-01, -1.636192106630419E-01, -2.557764159968240E-01,
2460700.809027778, A.D. 2025-Jan-25 07:25:00.0000,  8.569225051301275E+03, -1.222130976592718E+05,  8.743776931980753E+04,  5.199417847238355E-01, -1.593330593377985E-01, -2.588501488433499E-01,
2460700.812500000, A.D. 2025-Jan-25 07:30:00.0000,  8.725162280768845E+03, -1.222602544739325E+05,  8.735965357564916E+04,  5.196388354648446E-01, -1.550454574793482E-01, -2.619210037281676E-01,
2460700.815972222, A.D. 2025-Jan-25 07:35:00.0000,  8.881007806190662E+03, -1.223061247815066E+05,  8.728061700028952E+04,  5.193304236197885E-01, -1.507563334837943E-01, -2.649890320835151E-01,
2460700.819444444, A.D. 2025-Jan-25 07:40:00.0000,  9.036759988101512E+03, -1.223507081146161E+05,  8.720066043396632E+04,  5.190165441191654E-01, -1.464656156386355E-01, -2.680542851396093E-01,
2460700.822916667, A.D. 2025-Jan-25 07:45:00.0000,  9.192417185298613E+03, -1.223940039843082E+05,  8.711978470165994E+04,  5.186971915044661E-01, -1.421732321218907E-01, -2.711168139253038E-01,
2460700.826388889, A.D. 2025-Jan-25 07:50:00.0000,  9.347977754997448E+03, -1.224360118800974E+05,  8.703799061301231E+04,  5.183723599271038E-01, -1.378791109879447E-01, -2.741766692780800E-01,
