generation,branch,rho,phi,alive,cell,status,orientation
9,942,-0.228161141,0.931913614,1,32919,0,0
9,943,-0.226299241,0.797440052,1,33921,0,0
9,944,-0.235872447,1.201141,1,32963,0,0
9,945,-0.272326708,1.09177184,0,4294967295,1,0
9,946,-0.231940731,1.06640613,1,32941,0,0
9,947,-0.270321965,0.957005322,0,4294967295,1,0
9,952,-0.227886319,1.06770885,1,32942,0,0
9,953,-0.225974113,0.932979167,1,33944,0,0
9,954,-0.224053875,0.933488071,1,33944,0,0
9,955,-0.264316797,0.823744595,0,4294967295,1,0
9,956,-0.222149685,0.93425113,1,33944,0,0
9,957,-0.220297933,0.799770534,1,33922,0,0
9,958,-0.218460038,0.80052954,1,33922,0,0
9,959,-0.216700837,0.666287541,1,33900,0,0
9,960,-0.243992001,1.33597302,1,32985,0,0
9,961,-0.24205187,1.20072353,1,32963,0,0
9,964,-0.237933517,1.20094502,1,32963,0,0
9,965,-0.235986039,1.06595886,1,32941,0,0
9,966,-0.233978972,1.06621206,1,32941,0,0
9,967,-0.232069969,0.931483805,1,32919,0,0
9,992,-0.231638074,1.20334089,1,32964,0,0
9,993,-0.22970286,1.06834948,1,32942,0,0
9,994,-0.227708012,1.06859708,1,32942,0,0
9,995,-0.225795895,0.933865428,1,33944,0,0
9,996,-0.225697771,1.06910312,0,33966,3,0
9,997,-0.223789394,0.934369922,1,33944,0,0
9,1000,-0.223705232,1.06987989,0,33966,3,0
9,1001,-0.221800372,0.93514353,1,33944,0,0
9,1002,-0.219865382,0.935649216,1,33944,0,0
9,1003,-0.260091901,0.82585156,0,4294967295,1,0
9,1004,-0.217949376,0.936413109,1,33944,0,0
9,1005,-0.21610412,0.8019256,1,33922,0,0
9,1006,-0.214265943,0.802679658,1,33922,0,0
9,1007,-0.212509349,0.668432474,1,33900,0,0
9,1012,-0.215989277,0.937459826,1,33944,0,0
9,1013,-0.256180197,0.827613115,0,4294967295,1,0
9,1014,-0.212318838,0.803718746,1,33922,0,0
9,1015,-0.210571378,0.669465065,1,33901,0,0
9,1016,-0.214114398,0.938486636,1,33944,0,0
9,1017,-0.254285991,0.828616619,0,4294967295,1,0
9,1018,-0.21047017,0.804731727,1,33923,0,0
9,1019,-0.208718374,0.670477152,1,33901,0,0
9,1020,-0.250643015,0.695326984,0,4294967295,1,0
9,1021,-0.206939727,0.671471655,1,33901,0,0
9,1022,-0.205236018,0.672446012,1,33901,0,0
9,1023,-0.203604221,0.53841269,1,33879,0,0
10,1056,-0.257027239,1.71178067,1,32022,0,0
10,1057,-0.286463886,1.60029149,0,4294967295,1,0
10,1058,-0.253400296,1.5750618,1,32000,0,0
10,1059,-0.251562625,1.43935442,1,31978,0,0
10,1060,-0.251339018,1.5745132,1,32000,0,0
10,1061,-0.2825495,1.46394372,0,4294967295,1,0
10,1062,-0.247528806,1.4383105,1,33002,0,0
10,1063,-0.245605707,1.30285954,1,32980,0,0
10,1064,-0.249152556,1.57421792,1,33024,0,0
10,1065,-0.247318491,1.43851423,1,33002,0,0
10,1066,-0.24532941,1.43801117,1,33002,0,0
10,1067,-0.243424296,1.30256629,1,32980,0,0
10,1068,-0.243225932,1.43775284,1,33002,0,0
10,1069,-0.241324827,1.30230904,1,32980,0,0
10,1070,-0.239306644,1.30208468,1,32980,0,0
10,1071,-0.237367377,1.16690254,1,32958,0,0
10,1072,-0.246855348,1.57419074,1,33024,0,0
10,1073,-0.245025471,1.43848848,1,33002,0,0
10,1074,-0.276135534,1.32804894,0,4294967295,1,0
10,1075,-0.241140187,1.30254281,1,32980,0,0
10,1078,-0.237031877,1.30206215,1,32980,0,0
10,1079,-0.235097036,1.16688037,1,32958,0,0
10,1120,-0.242064461,1.57470226,1,33024,0,0
10,1121,-0.240246758,1.43900442,1,33002,0,0
10,1122,-0.238289312,1.43850994,1,33002,0,0
10,1123,-0.236398175,1.30306578,1,32980,0,0
10,1124,-0.269303828,1.32821417,0,4294967295,1,0
10,1125,-0.234291404,1.30280519,1,32980,0,0
10,1126,-0.232294753,1.30258155,1,32980,0,0
10,1127,-0.230369151,1.16739953,1,32958,0,0
10,1132,-0.228040785,1.30261183,1,32980,0,0
10,1133,-0.226123378,1.16743076,0,33982,3,0
10,1134,-0.224132866,1.16747773,0,33982,3,0
10,1135,-0.222212836,1.03255594,1,33960,0,0
10,1136,-0.231793612,1.43853331,1,33002,0,0
10,1137,-0.229914695,1.30309188,1,32980,0,0
10,1138,-0.227905259,1.30286479,1,32980,0,0
10,1139,-0.22598806,1.16768372,0,33982,3,0
10,1140,-0.260861158,1.19318914,0,4294967295,1,0
10,1141,-0.223914593,1.16770875,0,33982,3,0
10,1142,-0.221920878,1.16775537,0,33982,3,0
10,1143,-0.220005095,1.03283358,1,33960,0,0
10,1144,-0.258724868,1.19345164,0,4294967295,1,0
10,1145,-0.221780837,1.16800177,0,33982,3,0
10,1146,-0.21979852,1.16804802,0,33982,3,0
10,1147,-0.217893869,1.03312409,1,33960,0,0
10,1150,-0.213889658,1.03373754,1,33960,0,0
10,1151,-0.252726942,0.92404598,0,4294967295,1,0
10,1664,-0.22995916,1.57882404,1,33025,0,0
10,1665,-0.228159755,1.44312418,1,33003,0,0
10,1668,-0.224162489,1.44236422,0,34027,3,0
10,1669,-0.222299352,1.30691993,0,34004,3,0
10,1672,-0.22201623,1.44235754,0,34027,3,0
10,1673,-0.220157102,1.30691409,0,34004,3,0
10,1674,-0.218182176,1.30668509,0,34004,3,0
10,1675,-0.253177226,1.19686747,0,4294967295,1,0
10,1678,-0.221427947,1.16095996,0,33981,3,0
10,1679,-0.210358933,1.03662622,1,33960,0,0
10,1688,-0.220508486,1.29659498,0,34003,3,0
10,1689,-0.219087437,1.16146123,0,33981,3,0
10,1692,-0.224321961,1.15119195,0,33979,3,0
10,1693,-0.204053625,1.03746307,1,33961,0,0
10,1694,-0.202137768,1.03776181,1,34985,0,0
10,1695,-0.200282082,0.903080225,1,34963,0,0
10,1696,-0.225841716,1.43242347,0,34025,3,0
10,1697,-0.224446997,1.29709625,0,34003,3,0
10,1698,-0.248760834,1.19762921,0,4294967295,1,0
10,1699,-0.221044004,1.16172433,0,33981,3,0
10,1702,-0.244753197,1.06263638,0,4294967295,1,0
10,1703,-0.205973089,1.03744411,1,33961,0,0
10,1712,-0.224897891,1.28704977,0,34001,3,0
10,1713,-0.223950177,1.15196633,0,33979,3,0
10,1714,-0.240503296,1.0634104,0,4294967295,1,0
10,1715,-0.201742738,1.03827584,1,34985,0,0
10,1718,-0.197829336,1.03885698,1,34985,0,0
10,1719,-0.195981473,0.904173136,1,34963,0,0
10,1720,-0.217954412,1.15279996,0,33979,3,0
10,1721,-0.197716787,1.03911257,1,34985,0,0
10,1872,-0.220443085,1.28902853,0,34002,3,0
10,1873,-0.238006443,1.20033777,0,4294967295,1,0
10,1874,-0.217551529,1.15396261,0,33980,3,0
10,1875,-0.19733192,1.04027629,1,34985,0,0
10,1876,-0.224793121,1.14364958,0,33978,3,0
10,1877,-0.195341572,1.04055679,1,34985,0,0
10,1878,-0.193420261,1.04084837,1,34985,0,0
10,1879,-0.191579789,0.906158328,1,34963,0,0
10,1880,-0.222756818,1.14417505,0,33978,3,0
10,1881,-0.193307951,1.04110312,1,34985,0,0
10,1882,-0.191397637,1.04139328,1,34985,0,0
10,1883,-0.189560696,0.906701744,1,34963,0,0
10,1884,-0.189465135,1.04193497,1,34985,0,0
10,1885,-0.187631756,0.907242835,1,34963,0,0
10,1886,-0.185789227,0.907781243,1,34963,0,0
10,1887,-0.184016839,0.773329377,1,34942,0,0
10,1888,-0.218320787,1.2898488,0,34002,3,0
10,1889,-0.217379481,1.15476358,0,33980,3,0
10,1892,-0.222685426,1.14445734,0,33978,3,0
10,1893,-0.193240181,1.04138529,1,34985,0,0
10,1904,-0.218630537,1.14577425,0,33978,3,0
10,1905,-0.189204708,1.04274237,1,34985,0,0
10,1906,-0.18730177,1.04302859,1,34985,0,0
10,1907,-0.185471922,0.908332884,1,34964,0,0
10,1908,-0.224053875,0.933488071,0,4294967295,1,0
10,1909,-0.183557406,0.908867419,1,34964,0,0
10,1912,-0.1834957,1.04435158,1,34986,0,0
10,1913,-0.181672499,0.909652889,1,34964,0,0
10,1914,-0.179833025,0.910185814,1,34964,0,0
10,1915,-0.178083077,0.775722504,1,35966,0,0
10,1916,-0.178014025,0.910966456,1,35988,0,0
10,1917,-0.176257044,0.776503861,1,35966,0,0
10,1918,-0.174509376,0.777273178,1,35966,0,0
10,1919,-0.172840104,0.643040419,1,35944,0,0
10,1920,-0.219110444,1.43559587,0,34025,3,0
10,1921,-0.226450101,1.28963435,0,34002,3,0
10,1922,-0.22450763,1.28938854,0,34002,3,0
10,1923,-0.223560512,1.1543026,0,33980,3,0
10,1928,-0.220384315,1.28963852,0,34002,3,0
10,1929,-0.219441086,1.15455306,0,33980,3,0
10,1930,-0.235986039,1.06595886,0,4294967295,1,0
10,1931,-0.197273523,1.04088306,1,34985,0,0
10,1932,-0.224720329,1.144256,0,33978,3,0
10,1933,-0.195268869,1.04116392,1,34985,0,0
10,1934,-0.193369284,1.04145145,1,34985,0,0
10,1935,-0.232069969,0.931483805,0,4294967295,1,0
10,1984,-0.222853541,1.28144038,0,34000,3,0
10,1985,-0.222382739,1.14640296,0,33978,3,0
10,1986,-0.220447287,1.14640856,0,33978,3,0
10,1987,-0.191026121,1.04335737,1,34986,0,0
